tid,title,imdbRating,ratingCount,duration,year,nrOfWins,nrOfNominations,nrOfUserReviews
55031,Master Z: The Ip Man Legacy,8.3,28790,11160,1961,17,21,156
55630,ADAM SANDLER 100% FRESH,8.4,53475,6600,1961,4,1,139
56172,Here to Heart,8.4,140727,12960,1962,20,13,509
56592,Scorpion King 5: Book of Souls,8.4,154978,7740,1962,12,12,407
56801,While We're Young,8.2,58426,8280,1963,14,8,202
57012,Hunter's Prayer,dr seltsam oder wie ich lernte die bombe zu lieben,http://www.imdb.com/title/tt0057012/,8.6,263157,1964,video.movie,56
57115,I'll See You in My Dreams,8.3,120161,10320,1963,4,4,285
58461,Jenny Slate: Stage Fright,8.1,92532,5940,1964,1,1,215
58946,The Texas Chainsaw Massacre,8.2,25876,7260,1966,9,3,236
59578,Tracers,8.4,104305,7920,1965,0,0,201
60196,?????? ??????????,9,354997,9660,1966,1,0,684
60827,God Knows Where I Am,8.2,40639,5100,1966,8,1,149
61184,Aashayein,8.2,41330,7860,1966,20,18,213
61512,Bhool Bhulaiyaa,8.2,90643,7560,1967,5,6,249
61722,Humko Deewana Kar Gaye,8.1,161502,6360,1967,20,13,573
62622,Kajraare,8.3,295641,9600,1968,12,6,1568
64115,Karzzzz,8.2,111087,6600,1969,18,12,281
64116,Patiala House,8.7,158065,10500,1968,5,4,518
66921,Ready,8.4,386962,8160,1971,11,13,1250
68646,Results,9.2,821410,10500,1972,29,19,1751
70735,Free Fire,8.4,127640,7740,1973,10,6,224
71315,The Rainbow Troops,8.3,159935,7800,1974,20,22,412
71562,The Liar,9.1,541351,12000,1974,11,16,565
71853,Containment,8.4,284563,5460,1975,0,0,613
72684,Joe Rogan: Triggered,8.1,74677,11040,1975,15,11,341
72890,Wyatt Cenac: Brooklyn,8.1,137696,7500,1975,13,17,228
73195,How to Get Over a Breakup,8.1,290528,7440,1975,9,14,880
73486,The Gospel of John,8.8,492141,7980,1975,30,12,675
74958,1922,8.2,75434,7260,1976,22,19,295
75148,Miss Representation,8.1,243942,7140,1976,17,20,479
75314,One of Us,8.4,351181,6780,1976,26,9,768
75686,The Day I Met El Chapo,8.2,138617,5580,1977,26,7,408
76759,Wheelman,8.7,631839,7260,1977,35,26,1325
77416,Border Patrol,8.2,174642,10920,1978,21,17,949
78748,Botched Up Bodies,8.5,391737,7020,1979,12,18,991
78788,Bringing Sexy Back,8.5,333178,9180,1979,17,30,896
79470,Court Justice,8.2,198548,5640,1979,0,0,298
79944,Diva Brides,8.2,47589,9780,1979,2,1,253
80678,Ghost Town Gold,8.3,120156,7440,1980,10,13,325
80684,Horror Homes,8.8,563252,7440,1980,12,16,764
81398,Kitten Rescuers,8.3,172854,7740,1980,26,19,454
81505,License to Drill: Louisiana,8.5,418163,8640,1980,2,5,1208
82096,Living Undocumented,8.5,127022,8940,1981,13,5,397
82971,Ready to Mingle,8.6,473742,6900,1981,25,22,691
83658,Salam - The First ****** Nobel Laureate,8.3,350268,7020,1982,10,15,1072
83922,Death Race: Beyond Anarchy,8.2,30266,11280,1982,20,7,91
83987,Eric ldle's What About Dick?,8.1,121887,11460,1982,30,16,222
84787,Joe Rogan: Strange Times,8.2,188733,6540,1982,0,0,849
85334,Monty Python Best Bits (mostly),8.1,85811,5640,1983,3,11,431
86190,Monty Python Conquers America,8.4,445123,8040,1983,12,14,558
86250,"Monty Python Live (Mostly): One Down, Five to Go",8.3,8.3,379114,10200,video.movie,0,985
86879,Monty Python: Before the Flying Circus,8.4,198201,9600,1984,33,13,500
87544,Monty Python: Live at Aspen,8.2,60197,7020,1984,3,0,161
87843,Monty Python: Live at The Hollywood Bowl,8.4,159607,13740,1984,13,4,461
88247,Monty Python: The Meaning of Live,8.1,413108,6420,1984,5,6,602
88763,Monty Python's Almost the Truth,8.5,478445,6960,1985,13,24,680
89881,Monty Python's Fliegender Zirkus,8.3,58697,9720,1985,28,18,220
90605,Monty Python's Life of Brian,8.5,353899,8220,1986,16,21,998
91763,Monty Python's Personal Best,8.2,217699,7200,1986,22,10,476
92005,Parrot Sketch Not Included: Twenty Years of Monty Python,8.2,198139,5340,1986,3,10,536
92067,The Meaning of Monty Python,8.1,61387,7440,1986,1,0,152
93058,Sleeping with Other People,8.4,334586,6960,1987,7,7,621
93779,Anjelah Johnson: Not Fancy,8.2,222749,5880,1987,5,8,662
95016,Little Singham: Kaal Ki Tabaahi,8.3,431906,7860,1988,6,2,667
95327,Men in Black,8.5,85046,5340,1988,3,0,436
95765,Moms at War,8.5,103093,9300,1988,19,22,357
96283,The Command,8.3,101445,5160,1988,5,1,273
97576,Accidentally in Love,8.3,364585,7620,1989,4,19,440
99685,Ask the Doctor,8.8,515242,8760,1990,40,23,883
101414,Best.Worst.Weekend.Ever.,8.1,208331,5040,1991,21,19,310
102926,"Club de Cuervos Presents: I, Potro",8.6,584102,7080,1991,44,30,798
103064,Derren Brown: Sacrifice,8.5,523543,8220,1991,20,19,869
105236,Gnome Alone,8.4,454684,5940,1992,11,9,855
105695,Illang: The Wolf Brigade,8.3,205938,7860,1992,40,20,453
107048,Naa Bangaaru Talli,8.1,309177,6060,1993,6,7,542
107207,Oddbods: Party Monsters,8.2,74591,7980,1993,9,15,139
108052,S Storm,8.9,599579,11700,1993,70,25,1095
109830,The Gospel of Luke,8.8,799314,8520,1994,38,46,1133
110357,The Gospel of Mark,8.5,408078,5340,1994,25,22,542
110413,The Gospel of Matthew,8.6,501117,6600,1994,3,8,754
110912,The Night Comes for Us,9,911042,9240,1994,62,46,1818
111161,Wanderlust,9.3,1183395,8520,1994,15,15,3046
111495,Wedding Unplanned,8.1,47730,5940,1994,18,15,116
112471,10 Days in Sun City,8.1,119333,6300,1995,1,2,351
112573,93 Days,8.4,523797,10620,1995,19,20,1008
112641,Eli,8.2,236730,10680,1995,3,7,498
113247,In My Country,8.1,72274,5880,1995,8,12,154
113277,Interior Design Masters,8.3,324264,10200,1995,0,0,841
114369,Living with Yourself,8.7,691425,7620,1995,25,18,977
114709,"Love, Surreal and Odd",8.3,410650,4860,1995,19,13,311
114746,Mighty Little Bheem: Diwali,8.1,342200,7740,1995,10,8,498
114787,MONKART,8.2,30610,10200,1995,6,6,118
114814,New Money,8.7,523742,6360,1995,29,7,1110
116282,Seventeen,8.2,310335,5880,1996,60,32,752
117951,Tatu,8.2,343921,5640,1996,19,15,482
118694,Tell Me Who I Am,8.1,55016,5880,2000,35,27,293
118715,The Laundromat,8.2,380503,7020,1998,1,9,972
118799,Unnatural Selection,8.6,266261,6960,1997,56,31,972
119217,Up North,8.2,414269,7560,1997,18,37,611
119488,Upstarts,8.3,319796,8280,1997,78,48,591
119698,Verses of Love 2,8.5,150101,8040,1997,11,5,516
120382,Mr. Chandramouli,8,455656,6180,1998,32,37,789
120586,El Viaje: M??rama y Rombai,8.6,550302,7140,1998,3,9,1344
120689,The Karate Kid,8.5,499240,11340,1999,15,23,1290
120735,THE UNLISTED,8.2,304448,6420,1998,13,7,509
120737,My Babysitter's a Vampire: The Movie,8.9,871819,10680,2001,82,90,4928
120815,Patton Oswalt: Annihilation,8.6,600405,10140,1998,58,56,2191
133093,Another Miss Oh,8.7,841150,8160,1999,29,36,3470
137523,Ghosts of Sugar Land,8.9,900388,8340,1999,5,13,2676
154420,League of Legends Origins,8.2,52322,6300,1998,28,16,249
167260,Park Na-rae: Glamour Warning,8.9,845383,12060,2003,122,74,3049
167261,Second 20s,8.8,760587,10740,2002,76,83,2381
167404,Sinister 2,8.2,516468,6420,1999,32,37,2019
169102,The Game Changers,8.3,33481,13440,2001,44,19,228
169547,"Ron White: If You Quit Listening, I'll Shut Up",8.5,602828,7320,1999,91,74,2648
172495,Baadshaho,8.5,661296,9300,2000,51,80,2277
180093,Closed Circuit,8.4,413539,6120,2000,27,36,1842
198781,Footprints in the Sand,8.1,374409,5520,2001,14,31,546
208092,In Laws,8.4,432193,6240,2000,4,5,696
209144,La Femme,8.6,605480,6780,2000,47,34,1976
211915,Laws of Attraction,8.5,380600,7320,2001,54,50,1255
245429,Lucknow Central,8.6,273502,7500,2001,35,19,788
245712,A Family Affair,8.2,130465,9240,2000,56,15,346
246578,Anthony Jeselnik: Thoughts and Prayers,8.1,430315,6780,2001,11,12,2031
253474,Beasts of No Nation,8.5,331248,9000,2002,49,47,718
266543,Circle,8.2,451631,6000,2003,37,37,804
266697,Black Money Love,8.2,509895,6660,2003,16,43,2044
268978,Dark Crimes,8.2,389925,8100,2001,28,51,1123
317248,Homeland,8.7,386540,7800,2002,57,26,681
325980,Magical Andes,8.1,572501,8580,2003,28,71,2072
338013,Power Rangers Beast Morphers,8.4,475849,6480,2004,46,54,1448
338564,Devlok with Devdutt Pattanaik,8.2,68704,6060,2002,23,20,171
347149,Meghnadbodh Rohoshyo,8.2,136207,7140,2004,9,14,298
353969,Sanju,8.1,39252,7800,2003,14,2,107
361748,Stunt Science,8.3,561706,9180,2009,76,63,1391
363163,A Scandall,8.3,184234,9360,2004,18,17,532
364569,Aisa Yeh Jahaan,8.4,245394,7200,2003,18,11,742
367110,Ankur Arora Murder Case,http://www.imdb.com/title/tt0367110/,8.5,27617,12600,video.movie,12,0
372784,Belief: The Possession of Janet Moses,8.3,659591,8400,2005,9,44,2607
381681,Calendar Girls,8.1,113580,4800,2004,8,12,467
395169,Darra,8.2,195628,7260,2004,14,34,582
401383,El Che,8.1,75965,6720,2007,56,41,167
401792,Gour Hari Dastaan: The Freedom File,8.2,491210,7440,2005,21,29,1677
405094,Harry & Bunnie,8.5,185524,8220,2006,66,25,371
405159,Jal,8.1,334315,7920,2004,58,34,1068
405508,Macchli Jal Ki Rani Hai,8.6,36778,9420,2006,16,18,294
407887,Money,8.5,598844,9060,2006,64,63,1954
434409,One Night Stand,8.2,557042,7920,2005,4,17,1980
435761,OtherLife,8.5,356405,6180,2010,36,44,657
440963,Sardaarji 2,8.1,350787,6900,2007,17,27,790
457430,Seven and Me,8.3,339845,7080,2006,76,63,1025
468569,Singapore,9,1148515,9120,2008,94,69,3930
469494,Story of an Egg,8.1,272992,9480,2007,74,58,1053
477348,Tamanchey,8.2,434032,7320,2007,110,51,1416
482571,Teshan,8.5,555345,7800,2006,4,17,1011
758758,Ujala,8.2,292747,8880,2007,18,43,683
796366,Veerappan,8.1,401744,7620,2009,19,47,1499
848228,Why Knot,8.2,638083,8580,2012,22,55,1550
892769,A Mighty Team,8.2,285643,5880,2010,19,32,414
910970,Berserk: The Golden Age Arc I - The Egg of the King,8.5,476415,5880,2008,52,49,966
947798,Bleach The Movie: Fade to Black,8.1,413273,6480,2010,57,125,1057
978762,Bleach the Movie: Hell Verse,mary max oder schrumpfen schafe wenn es regnet,http://www.imdb.com/title/tt0978762/,8.2,77311,2009,video.movie,15
986264,Blind Date,8.6,48238,9900,2007,13,15,261
993846,DEATH NOTE,8.4,285401,10800,2013,17,62,779
1010048,Naruto Shipp??den the Movie: Bonds,8.1,470400,7200,2008,114,62,972
1028532,Naruto Shippuden: The Movie,8.2,76285,5580,2009,0,0,239
1049413,Power Rangers Dino Super Charge,8.3,425870,5760,2009,53,37,644
1130884,Spotless,8.1,495936,8280,2010,4,27,884
1170358,"Martin Matte: La vie, la mort...eh la la..!",8.1,239935,9660,2013,3,40,777
1187043,This Is Not What I Expected,8.5,103975,10200,2009,20,13,267
1201607,Sky Ladder: The Art of Cai Guo-Qiang,8.1,346862,7800,2011,33,49,754
1205489,Suburra,8.2,405722,6960,2008,20,8,815
1220719,Russell Peters vs. the World,8.1,101486,6360,2008,12,10,129
1255953,Russell Peters: Notorious,8.2,45292,8340,2010,36,10,118
1291584,Street Flow,8.3,220357,8400,2011,2,10,432
1305806,The Lies Within,8.3,82183,7740,2009,48,34,197
1345836,Soorma,8.6,758626,9900,2012,28,64,2576
1375666,Ajaibnya Cinta,8.8,942259,8880,2010,83,110,2450
1392214,Blessed Benefit,8.1,184698,9180,2013,6,15,445
1454029,Clair Obscur,8.1,220355,8760,2011,46,68,391
1454468,"El Especial de Alex Fern??ndez, el Especial",8.1,341562,5460,2013,104,75,1556
1490017,Kingdom of Us,8.3,52708,6000,2014,1,0,225
1504320,The Babysitter,8.1,325645,7080,2010,86,104,592
1555149,The Meyerowitz Stories (New and Selected),8.1,46844,6900,2010,23,11,59
1675434,Mascots,8.6,286016,6720,2011,25,31,245
1798709,Apostle,8.3,98365,7560,2013,42,58,389
1832382,Black Heart,8.5,105123,7380,2011,60,23,230
1853728,Errementari: The Blacksmith and the Devil,8.5,568296,9900,2012,36,58,1012
1979320,Feminists: What Were They Thinking?,8.3,142959,7380,2013,4,33,352
2024544,FIGHTWORLD,8.3,161237,8040,2013,131,137,455
2106476,Kuntilanak,8.3,80966,6900,2012,29,37,163
50598,ReMastered: Who Shot the Sheriff,7.3,4268,6600,1957,0,0,45
23948,The Curious Creations of Christine McConnell,7.9,5139,6660,1933,0,0,83
37077,The Haunting of Hill House,8,4798,5880,1944,3,0,64
35753,The Kindergarten Teacher,7.6,5372,5520,1943,0,0,41
119167,Barakah Meets Barakah,7.6,32584,6480,1997,4,5,281
53459,Bomb Scared,7.8,12002,5280,1960,0,0,113
73540,Justin Timberlake + the Tennessee Kids,7.6,20020,6900,1975,3,11,189
62229,Iron Man & Captain America: Heroes United,8.2,22465,6300,1967,0,0,79
69995,Bygones Be Bygones,7.4,26050,6600,1973,0,8,233
25919,El Camino: A Breaking Bad Movie,7.9,3874,5460,1934,1,0,50
54167,Fractured,7.8,17160,6060,1960,0,0,126
61811,The Bling Lagosians,8,39484,6540,1967,17,12,146
3317282,The Forest of Love,4.9,18,,2013,0,0,0
71877,The Influence,7.3,28857,7680,1974,8,16,148
19421,Filosofi Kopi The Movie,8,7236,4200,1928,0,0,56
90756,Ordinary Heroes,7.8,100580,7200,1986,22,11,653
77413,Salt Fat Acid Heat,7.2,15392,8400,1978,4,5,92
83908,????????????,7,6871,7020,1982,0,0,62
93223,Beyblade Burst Turbo,7.3,14094,6120,1987,6,2,103
1216487,GEN HOSHINO STADIUM TOUR ü??POP VIRUSü?ù,7.1,55813,7740,2009,0,0,132
112722,Ultramarine Magmell,6.5,36160,7380,1995,2,1,122
228786,22-Jul,6.9,40832,6360,2000,1,9,161
21165,Blood Pact,6.4,3464,6240,1930,0,0,43
27996,Tales From the Hood 2,8,12499,6900,1936,5,5,104
35169,Christina P: Mother Inferior,7.9,6804,5280,1942,0,0,85
91787,Nature's Great Events (2009),7.4,442,480,1986,2,1,9
80388,The Blue Planet: A Natural History of the Oceans,http://www.imdb.com/title/tt0080388/,7.4,9189,6240,video.movie,27,0
28096,Chelsea Handler: Uganda Be Kidding Me Live,7.7,7818,4920,1936,0,0,86
171804,300 Miles to Heaven,7.6,63699,7080,1999,47,27,423
86066,A.M.I.,7.2,45251,5460,1983,1,3,290
67549,Along Came a Spider,7.1,8763,6600,1971,1,1,57
19379,Alpha and Omega 2: A Howl-iday Adventure,8.3,2400,4980,1928,1,0,28
456396,Bad Boys,7.4,11521,6000,2005,12,12,78
117509,Bad Boys II,6.9,129664,7200,1996,13,20,482
29453,Blow,7.7,3792,5640,1937,2,0,37
114660,Candyman,6.8,19544,6900,1995,2,0,136
69762,Charlie's Angels,7.9,35743,5640,1973,3,0,171
43386,Charlie's Angels: Full Throttle,7.8,2648,5100,1952,1,1,25
10879,Cheese in the Trap,7,530,5100,1919,0,0,6
433547,Chicago Typewriter,7.9,321,,2005,0,0,5
28597,College Romance,8,11147,5460,1937,1,5,94
48728,Crash,7.5,35545,6360,1955,0,5,159
37008,Dumb and Dumberer: When Harry Met Lloyd,8.2,23895,5280,1944,1,4,178
28010,Earth to Echo,8.2,13141,5640,1936,1,0,270
58329,Engineering Girls,7.2,26944,7800,1964,0,0,179
802096,"Escape from the ""Liberty"" Cinema",,,2220,1989,0,0,0
15116,Exit Wounds,8.3,739,4500,1924,0,0,5
462071,First Kiss,5.3,90,23100,2005,0,0,3
56714,Girls Hostel,7.7,2441,5760,1962,0,0,18
36400,Good Burger,6.9,2409,4740,1943,0,0,23
955308,Good Luck Chuck,6.7,166816,8400,2010,1,11,530
317648,Harold & Kumar Escape from Guantanamo Bay,6.6,58431,8160,2004,1,2,337
472043,Honey 2,7.8,193604,8340,2006,7,14,1022
69113,Hotel Pacific,7.1,27872,7020,1972,4,13,231
66603,House of the Witch,7.2,1441,4740,1970,0,0,13
78243,Inmates,7.8,8402,6900,1978,0,0,61
89153,Jealousy and medicine,6.7,10990,7560,1985,2,1,99
78513,Knowing,7.3,1059,7800,1978,0,0,12
54953,Limitless,7.6,29407,9480,1961,4,10,122
50613,Little Baby Bum: Go Buster,8.2,21413,6600,1957,3,1,96
3332258,Medium,,,600,2013,0,0,0
12532,Men in Black II,8.1,3138,9120,1921,0,0,31
20298,Miniforce X,8,2305,6060,1929,1,0,17
19788,Nikki Glaser: Banginü??,7.4,1500,4560,1929,0,0,30
19344,No Reservations,8.1,1683,5820,1928,0,0,15
12763,Ocean's Thirteen,8.2,1347,5940,1921,2,0,15
29606,Ocean's Twelve,7.7,4471,6660,1937,2,7,41
22054,One Direction: This Is Us,7.9,1066,4560,1931,0,0,22
55601,Raging Bull,8.2,12404,5400,1961,1,0,48
37884,Rugrats in Paris: The Movie,8.1,19966,6060,1945,11,3,126
22834,Scream 2,8.1,1136,4620,1932,0,0,15
407969,Senna,6.1,258,3360,2002,0,0,4
39689,Signal,8.1,17520,5820,1947,1,0,137
19258,Sin City,8.2,1701,4680,1928,0,0,18
37865,Sinister Circle,7.8,5934,6600,1945,0,3,112
46126,Supergirl,7.1,8741,5520,1953,0,0,98
40823,Superman Returns,7.5,5734,5340,1948,0,2,78
41088,Surf's Up,7.5,2370,4920,1948,0,0,46
41958,The Bounty Hunter,7.8,2860,5640,1949,0,0,36
47985,The Bucket List,7.6,5567,6720,1955,3,0,55
42046,The Cruise,7.5,1750,4380,1949,1,2,49
39725,The Figurine (Araromire),7.2,2333,6480,1947,0,0,59
51036,The Flintstones,8.2,15654,5760,1957,2,2,104
38559,The Flintstones in Viva Rock Vegas,7.8,15960,6600,1946,1,0,134
91167,The K2,8,41610,6180,1986,26,20,156
1896410,The Liar and His Lover,,,1800,1997,0,0,0
48254,The lynx,6.8,12163,4020,1955,1,0,92
47437,The Pursuit of Happyness,7.8,33551,6780,1954,6,7,133
36342,The Rugrats Movie,8,37111,6480,1943,1,2,211
45897,The spiral,7.3,11279,5700,1953,0,0,90
35432,The Squid and the Whale,7.6,4787,4860,1942,0,0,64
42832,The Time Traveler's Wife,7.3,4124,5760,1950,2,3,69
48021,Trainspotting,8.2,14719,7320,1955,5,1,94
42788,Troy,8,6194,6060,1950,0,0,68
40506,Tunnel,7.9,23298,6000,1948,0,1,134
97123,Unaccompanied Minors,8.1,34554,6240,1989,13,17,151
29322,Walking Out,7.6,3754,4620,1937,0,0,62
32599,Weather forecast,8.1,34101,5520,1940,1,0,208
111705,Westerplatte Resists,5.3,189,660,1994,0,0,6
918927,25 Kille,7.5,80912,6240,2008,19,44,302
1149362,A Witches' Ball,7.8,41551,8640,2009,50,25,177
1360860,Agyaat,8.2,14680,7140,2009,13,8,29
208990,Anjaan,7.4,12459,5940,2001,11,25,82
54698,Bathinda Express,7.8,90979,6900,1961,13,8,315
278731,Brooklyn's Finest,6.9,25733,5880,2002,12,22,205
57495,Chappaquiddick,7.6,6164,6060,1963,2,0,51
53619,Civilizations,7.9,13291,8580,1960,5,6,87
1068649,Delhi 6,7.6,15364,7020,2008,14,19,113
51077,Dev.D,7.3,4253,5460,1957,2,1,45
22264,Dil Vil Pyaar Vyaar,7.6,972,4440,1931,0,0,10
79522,Dushman,8,83078,5760,1979,19,14,216
52561,Earth's Natural Wonders: Life at the Extremes,8.1,35135,9600,1959,9,11,176
21633,Ek Main Aur Ekk Tu,7.8,818,5400,1931,0,0,10
53935,Fishtail,7.9,2984,7740,1958,1,1,48
35800,Freedom at Midnight,6.7,704,5940,1943,0,0,15
65207,Haani,7.7,32785,9480,1968,1,2,212
43265,Happy Go Lucky,8,50111,6300,1951,4,6,189
311113,Harishchandrachi Factory,7.4,140094,8280,2003,22,57,671
97027,Hot Date,7,27348,6780,1989,3,1,116
82432,Jagga Jasoos,7.6,24493,6600,1981,11,5,108
240510,Jatt James Bond,6.5,24173,7920,2002,0,0,210
59885,Jodhaa Akbar,7.1,8141,7020,1965,2,1,63
1636227,Judge Singh LLB,8.3,308,1260,2011,0,0,0
813547,Kaminey,7.6,30580,5880,2007,6,9,116
280653,Kevin Hart: Laugh at My Pain,7.3,8712,7920,2002,4,8,49
73650,Kevin Hart: Seriously Funny,6,28383,6960,1975,0,0,343
53976,Khido Khundi,8.1,14749,5340,1960,4,2,72
60522,Khoobsurat,7.6,11667,7380,1966,0,0,81
810861,Kingdoms of the Sky,7.7,74,5700,2005,0,0,1
120669,Kisaan,7.8,172021,7080,1998,1,1,624
100998,Kismat Konnection,7.8,15270,7140,1990,3,8,107
478304,Kurbaan,6.7,108560,8340,2011,61,50,932
110148,Lock,7.6,193094,7380,1994,19,18,383
67445,Luv Shuv Tey Chicken Khurana,7.6,11098,7800,1971,18,6,100
21331,"Main, Meri Patni Aur Woh",7.5,3222,3300,1932,1,0,28
59643,Manje Bistre,8,2779,10920,1965,1,0,34
64940,Motor Mitraan Di,6.9,9720,7680,1969,7,6,88
1212419,Mountain,6.5,69425,7740,2010,4,11,310
74147,Mugamoodi,7.7,2450,6840,1976,8,2,18
825354,Muran,7.4,42,1800,2002,0,0,0
57611,My Friend Pinto,8,9325,5760,1963,3,1,38
77711,My Little Pony Equestria Girls: Forgotten Friendship,8.2,11098,5940,1978,13,2,54
63611,My Little Pony Equestria Girls: Rollercoaster of Friendship,7.9,6196,6180,1968,10,0,46
57358,My Suicide,8,10304,4860,1963,1,0,54
87884,Naan Sigappu Manithan,http://www.imdb.com/title/tt0087884/,8.1,34465,8820,video.movie,16,0
91670,Nasha,8.1,10180,8520,1986,8,1,56
54130,Nature: Animals With Cameras,7.9,8066,6900,1961,6,1,35
56058,Naughty Jatts,8.6,13453,7980,1962,8,2,140
46438,Needhi Singh,8.3,18631,8160,1953,2,0,100
65571,Peace Haven,8.1,12653,6660,1970,11,2,84
61395,Phantom,7.8,22439,6060,1967,5,0,97
319061,Pizza,http://www.imdb.com/title/tt0319061/,8,295910,7500,video.movie,0,500
117381,Pooja Kiven Aa,7.7,99269,7740,1996,10,6,220
452623,Race,7.7,148683,6840,2007,23,12,427
91605,Race 2,7.8,66690,7800,1986,13,5,140
104257,Saadey CM Saab,7.6,145459,8280,1967,9,15,299
1132620,Sat Shri Akaal England,7.8,139396,9120,2009,12,22,282
154506,Strong,7.6,48309,4140,1998,5,4,144
465538,Thaandavam,7.3,113526,7140,2007,19,60,352
278504,The Birth Reborn,7.2,169766,7080,2002,1,8,620
95647,Theeya Velai Seyyanum Kumaru,7.8,52664,7680,1988,18,19,157
91021,Three Wives One Husband,6.6,14,960,1985,1,4,0
684853,Tiger,7.9,49,3600,1982,0,0,0
39224,Udaan,7.7,4746,5880,1947,0,0,55
33149,V for Vendetta,7.3,4437,5700,1940,0,0,56
107614,Vettai,6.8,124836,7500,1993,9,6,204
2441444,Wake Up Sid,,,2400,2007,0,0,0
130827,We Are Family,7.8,138695,4860,1998,28,15,691
108399,What the Jatt!!,8,130834,7200,1993,1,6,424
345561,Zack and Miri Make a Porno,http://www.imdb.com/title/tt0345561/,6.1,1520,6300,video.movie,0,0
49833,Zindagi Kitni Haseen Hay,7.9,37792,13200,1956,5,7,207
56264,26 Years,7.2,9363,10680,1962,2,6,79
56059,April and the Extraordinary World,7.3,7219,9420,1962,1,0,71
120744,Barbie & Her Sisters in a Pony Tale,6.4,95874,7920,1998,3,2,232
245844,Barbie in A Mermaid Tale,7.7,85719,7860,2002,0,0,528
54331,Barbie in Princess Power,8,81588,11820,1960,6,9,256
